aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id
http://www.awin1.com/pclick.php?p=3850368677&a=295295&m=6901,"TV LED 55'' 4K UHD Smart TV TX 55DX600   Nvidia Shield ATV",3850368677,RSYS:9:4985241,http://s1.static69.com/hifi/images/../../images/bundles/large/BUN47265.jpg,"TV LED 55'' 4K UHD Smart TV&nbsp; &nbsp;my Home Screen&nbsp;2.0  &nbsp;Quad Core Pro","TV et Lecteurs DVD / TV LED / TV LED de 50'' et plus",1050.00,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,19.99,http://www.awin1.com/pclick.php?p=3850368677&a=295295&m=6901,fr,,EUR1050.00,16437
http://www.awin1.com/pclick.php?p=3832743311&a=295295&m=6901,"Air Huntress Zing Shot   AH272",3832743311,MP-00F4BM25791516,//dam-static.rueducommerce.fr/medias/6e17850d5de33f8cbd62083345d6a94d/p_150x150/812b83ac83823fa4926b2d5a4581b5a6.jpg,"Ce lanceur utilise le m&ecirc;me principe qu'un lance pierre mais avec des balles en mousses afin d'&eacute;viter les risques de blessures. Les balles sont con&ccedil;us sp&eacute;cialement pour &ecirc;tre utilis&eacute; avec le lanceur.Attache la balle &agrave; l'aide des deux embouts en plastique pr&eacute;sents sur le lanceur. Tire en arri&egrave;re pour armer les &eacute;lastiques, vise, et tire sur ta cible qui peut atteindre jusqu'&agrave; 15 m&egrave;tres de distance. Deux &eacute;lastiques de lancement s&eacute;par&eacute;s pour &eacute;viter l&rsquo;utilisation d&rsquo;autres objets &eacute;trangers 1 lanceur Zing Shot et 3 balles BlazeX inclusAttention: Ne pas tirer sur des personnes ou des animaux !","Jeux & Jouets / Jeux de société / Jeux d'adresse",10.99,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=3832743311&a=295295&m=6901,fr,,EUR10.99,16437
http://www.awin1.com/pclick.php?p=3850368695&a=295295&m=6901,"TV LED 49'' 4K UHD Smart TV TX 49DX600E   Nvidia Shield ATV",3850368695,RSYS:9:4985243,http://s1.static69.com/hifi/images/../../images/bundles/large/BUN47266.jpg,"TV LED 49'' 4K UHD Smart TV&nbsp; &nbsp;my Home Screen&nbsp;2.0  &nbsp;Quad Core Pro","TV et Lecteurs DVD / TV LED / TV LED de 46'' à 49''",850.00,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,19.99,http://www.awin1.com/pclick.php?p=3850368695&a=295295&m=6901,fr,,EUR850.00,16437
http://www.awin1.com/pclick.php?p=3799389921&a=295295&m=6901,"Sèche linge à condensation DSCX90114",3799389921,MP-00F4BM25805554,//dam-static.rueducommerce.fr/medias/a3a4cc3413c833e7ba90dfb6636c77bd/p_150x150/dscx90114.jpg,"Un programmateur intelligent qui d&eacute;tecte le taux d'humidit&eacute; gr&acirc;ce &agrave; ses capteurs et adapte automatiquement le cycle &agrave; la charge et au type de textile. Il s'arr&ecirc;te d&egrave;s que le linge est sec","Electroménager / Lavage & Séchage / Sèche-linge",599.00,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,19.99,http://www.awin1.com/pclick.php?p=3799389921&a=295295&m=6901,fr,,EUR599.00,16437
http://www.awin1.com/pclick.php?p=3850368679&a=295295&m=6901,"TV LED 55'' 4K UHD Curved Smart TV Samsung UE55KU6640   Console Xbox One S 500go   Abo Xbox One Live Gold 12 mois",3850368679,RSYS:9:4985353,http://s1.static69.com/hifi/images/produits/large/BUN47314.jpg,"TV LED 55 pouces   4K UHD   incurv&eacute;e   Smart TV   Wifi.","TV et Lecteurs DVD / TV LED / TV LED de 50'' et plus",1199.99,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,19.99,http://www.awin1.com/pclick.php?p=3850368679&a=295295&m=6901,fr,,EUR1199.99,16437
http://www.awin1.com/pclick.php?p=6893018809&a=295295&m=6901,"Gillette Fusion ProGlide Multiusage Styler 3en1   Tondeuse avec Rasoir   2 Lames",6893018809,MP-01110M28706668,//dam-static.rueducommerce.fr/medias/5b990d28688e34c6af6bc3f5070b00ed/p_150x150/eae637c9c80c38d8b54c1b2e29092156.jpg,"Le rasoir pour homme Gillette Fusion Multiusage Styler tond de fa&ccedil;on uniforme, rase de pr&egrave;s et sculpte avec pr&eacute;cision. Le Styler a tout ce dont vous avez besoin pour cr&eacute;er n&rsquo;importe quel look. Il tond de fa&ccedil;on uniforme, rase de pr&egrave;s et sculpte avec pr&eacute;cision. Dot&eacute; d&rsquo;une technologie con&ccedil;ue par Braun, le Styler est imperm&eacute;able et utilisable sous la douche. Le Multiusage Styler vous permet de cr&eacute;er facilement n&rsquo;importe quel look avec un seul outil de pr&eacute;cision et n&rsquo;importe quelle lame Gillette Fusion.   Rasoir pour homme 3 en 1, tond de fa&ccedil;on uniforme, rase de pr&egrave;s et sculpte avec pr&eacute;cision  Tondeuse imperm&eacute;able utilisable sous la douche ou au lavabo  Stabilisateur de lame pour un confort optimal, permettant aux lames d&rsquo;&eacute;pouser les formes de votre visage  Bande Lubrastrip permettant au rasoir de glisser en douceur sur la peau m&ecirc;me pour les passages r&eacute;p&eacute;t&eacute;s  Tondeuse de pr&eacute;cision con&ccedil;ue pour cr&eacute;er des lignes nettes et une finition pr&eacute;cise  Technologie de pointe Braun pour une tonte uniforme  Trois sabots interchangeables  2 mm, 4 mm et 6 mm  pour obtenir une longueur uniforme et s&rsquo;adapter aux contoursINGREDIENTS :PEG 115M, PEG 7M, PEG 100, Paraffinum Liquidum, Tocopheryl Acetate, Aloe Barbadensis, BHT","Beauté #slash# Santé / Rasage homme / Tondeuses de précision",27.98,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=6893018809&a=295295&m=6901,fr,,EUR27.98,16437
http://www.awin1.com/pclick.php?p=4731510551&a=295295&m=6901,"TV LED 55'' 4K UHD Curved Smart TV Samsung UE55KU6640   Nvidia Shield ATV",4731510551,RSYS:9:4985655,http://s1.static69.com/hifi/images/../../images/bundles/large/BUN47423.jpg,"TV LED 55 pouces   4K UHD   incurv&eacute;e   Smart TV   Wifi.","TV et Lecteurs DVD / TV LED / TV LED de 50'' et plus",1799.00,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,19.99,http://www.awin1.com/pclick.php?p=4731510551&a=295295&m=6901,fr,,EUR1799.00,16437
http://www.awin1.com/pclick.php?p=3863142035&a=295295&m=6901,"Tondeuse bikini NRBK10 17",3863142035,MP-01117M28310460,//dam-static.rueducommerce.fr/medias/daf28642c08137c2a52f9f4564d245c6/p_150x150/nrbk10-17-side.jpg,"1 pile LR06 AA   1.5V  incluse","Electroménager / Epilation & rasage / Tondeuse",19.99,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=3863142035&a=295295&m=6901,fr,,EUR19.99,16437
http://www.awin1.com/pclick.php?p=3854300645&a=295295&m=6901,"TV LED 55'' Full HD Smart TV 3D 55EG910V   Nvidia Shield ATV",3854300645,RSYS:9:4985664,http://s1.static69.com/hifi/images/../../images/bundles/large/BUN47424.jpg,"Optez pour la haute technologie avec ce t&eacute;l&eacute;viseur Oled sign&eacute; LG&nbsp;!","TV et Lecteurs DVD / TV LED / TV LED de 50'' et plus",1390.00,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,19.99,http://www.awin1.com/pclick.php?p=3854300645&a=295295&m=6901,fr,,EUR1390.00,16437
http://www.awin1.com/pclick.php?p=3863142033&a=295295&m=6901,"Tondeuse pour corps NRMBG45 17",3863142033,MP-01117M28310462,//dam-static.rueducommerce.fr/medias/da3a230ea38332a3aba90eae001a5de2/p_150x150/nrmbg45-17.jpg,"Housse de rangement incluse","Electroménager / Epilation & rasage / Tondeuse",19.99,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=3863142033&a=295295&m=6901,fr,,EUR19.99,16437
